TIME	LOGL	VPH
1.072000000000000064e+01 4.231189882219722165e+01 6.950187075726654530e+08
1.073000000000000043e+01 4.231203106523025070e+01 6.950224962467398643e+08
1.074000000000000021e+01 4.231216226843933725e+01 6.950262357926344872e+08
1.075000000000000000e+01 4.231229291516773117e+01 6.950299491808390617e+08
1.075999999999999979e+01 4.231242360055018992e+01 6.950336599120323658e+08
1.076999999999999957e+01 4.231255428322442924e+01 6.950373702448606491e+08
1.077999999999999936e+01 4.231268500142702038e+01 6.950410801193461418e+08
1.079000000000000092e+01 4.231281618623870600e+01 6.950447682630339861e+08
1.080000000000000071e+01 4.231294782031389445e+01 6.950484351372022629e+08
1.081000000000000050e+01 4.231308020875074760e+01 6.950520296041991711e+08
1.082000000000000028e+01 4.231321267315526313e+01 6.950556198648240566e+08
1.083000000000000007e+01 4.231334514286390913e+01 6.950592096508624554e+08
1.083999999999999986e+01 4.231347761354002301e+01 6.950627985541063547e+08
1.084999999999999964e+01 4.231361017745523867e+01 6.950663742470855713e+08
1.085999999999999943e+01 4.231374297105392657e+01 6.950699172019022703e+08
1.087000000000000099e+01 4.231387646068733943e+01 6.950734385514450073e+08
1.088000000000000078e+01 4.231401140705460051e+01 6.950769137610423565e+08
1.089000000000000057e+01 4.231414640305870734e+01 6.950803865383234024e+08
1.090000000000000036e+01 4.231428140470839594e+01 6.950838589642403126e+08
1.091000000000000014e+01 4.231441642345533438e+01 6.950873273546793461e+08
1.091999999999999993e+01 4.231455156829068187e+01 6.950907570751216412e+08
1.092999999999999972e+01 4.231468673204319231e+01 6.950941865254547596e+08
1.093999999999999950e+01 4.231482534372518245e+01 6.950975738925604820e+08
1.095000000000000107e+01 4.231496651476805226e+01 6.951009292594312429e+08
1.096000000000000085e+01 4.231510776304806143e+01 6.951042836139283180e+08
1.097000000000000064e+01 4.231524902059553739e+01 6.951076373464733362e+08
1.098000000000000043e+01 4.231539021275227697e+01 6.951109479375216961e+08
1.099000000000000021e+01 4.231553138054691487e+01 6.951142526027348042e+08
1.100000000000000000e+01 4.231567253692391262e+01 6.951175566107370853e+08
1.100999999999999979e+01 4.231580963986066024e+01 6.951208093962001801e+08
1.101999999999999957e+01 4.231594544953830450e+01 6.951240461125236750e+08
1.102999999999999936e+01 4.231608124384855785e+01 6.951272820798213482e+08
1.104000000000000092e+01 4.231621684794610161e+01 6.951304909577494860e+08
1.105000000000000071e+01 4.231635236855069593e+01 6.951336882577741146e+08
1.106000000000000050e+01 4.231648788028419261e+01 6.951368850881242752e+08
1.107000000000000028e+01 4.231662337919446770e+01 6.951400799774199724e+08
1.108000000000000007e+01 4.231675702401480521e+01 6.951432077250361443e+08
1.108999999999999986e+01 4.231689040895361131e+01 6.951463261830837727e+08
1.109999999999999964e+01 4.231702399693536165e+01 6.951494203142752647e+08
1.110999999999999943e+01 4.231715778974334086e+01 6.951524933581045866e+08
1.112000000000000099e+01 4.231729160481940966e+01 6.951555659929838181e+08
1.113000000000000078e+01 4.231742544720584931e+01 6.951586365698487759e+08
1.114000000000000057e+01 4.231755929471744082e+01 6.951617067954695225e+08
1.115000000000000036e+01 4.231769006477228601e+01 6.951647132806488276e+08
1.116000000000000014e+01 4.231782030869167954e+01 6.951676982944960594e+08
1.116999999999999993e+01 4.231795003059038862e+01 6.951706560441582203e+08
1.117999999999999972e+01 4.231807973511733678e+01 6.951736131717526913e+08
1.118999999999999950e+01 4.231820939866265263e+01 6.951765687037035227e+08
1.120000000000000107e+01 4.231833903208359260e+01 6.951795234226953983e+08
1.121000000000000085e+01 4.231846852008427362e+01 6.951824753112609386e+08
1.122000000000000064e+01 4.231859514169518377e+01 6.951853536798772812e+08
1.123000000000000043e+01 4.231872326711199150e+01 6.951882013644577265e+08
1.124000000000000021e+01 4.231885139868458623e+01 6.951910489362580776e+08
1.125000000000000000e+01 4.231897960099681200e+01 6.951938947704645395e+08
1.125999999999999979e+01 4.231910784549179994e+01 6.951967397020348310e+08
1.126999999999999957e+01 4.231923606714475028e+01 6.951995842067868710e+08
1.127999999999999936e+01 4.231936383117805889e+01 6.952024142175629139e+08
1.129000000000000092e+01 4.231948748635656443e+01 6.952051475313696861e+08
1.130000000000000071e+01 4.231961098426576484e+01 6.952078781508719921e+08
1.131000000000000050e+01 4.231973447657188103e+01 6.952106077155468464e+08
1.132000000000000028e+01 4.231985796356276097e+01 6.952133358190617561e+08
1.133000000000000007e+01 4.231998144807404572e+01 6.952160637950617075e+08
1.133999999999999986e+01 4.232010482118368344e+01 6.952187878398082256e+08
1.134999999999999964e+01 4.232022651870882157e+01 6.952214603571680784e+08
1.135999999999999943e+01 4.232034410992915241e+01 6.952240742880439758e+08
1.137000000000000099e+01 4.232046149704365234e+01 6.952266851055698395e+08
1.138000000000000078e+01 4.232057886323816831e+01 6.952292948385382891e+08
1.139000000000000057e+01 4.232069621124892933e+01 6.952319039064183235e+08
1.140000000000000036e+01 4.232081354939422368e+01 6.952345119686231613e+08
1.141000000000000014e+01 4.232093004039236916e+01 6.952370782445026636e+08
1.141999999999999993e+01 4.232104490202853242e+01 6.952396252072113752e+08
1.142999999999999972e+01 4.232115530204556819e+01 6.952421189592356682e+08
1.143999999999999950e+01 4.232126548692804135e+01 6.952446096306420565e+08
1.145000000000000107e+01 4.232137567180909343e+01 6.952471003018603325e+08
1.146000000000000085e+01 4.232148583303954581e+01 6.952495900537257195e+08
1.147000000000000064e+01 4.232159414679335185e+01 6.952520419568930864e+08
1.148000000000000043e+01 4.232170238306714793e+01 6.952544924836305380e+08
1.149000000000000021e+01 4.232180845170058348e+01 6.952569176509494781e+08
1.150000000000000000e+01 4.232191084325848607e+01 6.952592996632449627e+08
1.150999999999999979e+01 4.232201310493558566e+01 6.952616799445425272e+08
1.151999999999999957e+01 4.232211536880281244e+01 6.952640599326038361e+08
1.152999999999999936e+01 4.232221578323313338e+01 6.952663985664851665e+08
1.154000000000000092e+01 4.232231609127060068e+01 6.952687351280858517e+08
1.155000000000000071e+01 4.232241629827512952e+01 6.952710707397236824e+08
1.156000000000000050e+01 4.232251255535587831e+01 6.952733727666951418e+08
1.157000000000000028e+01 4.232260474994316013e+01 6.952756404532220364e+08
1.158000000000000007e+01 4.232269679903912163e+01 6.952779066994740963e+08
1.158999999999999986e+01 4.232278454393055256e+01 6.952801349363378286e+08
1.159999999999999964e+01 4.232287207187836486e+01 6.952823610417959690e+08
1.160999999999999943e+01 4.232295956838711959e+01 6.952845861912590265e+08
1.162000000000000099e+01 4.232304701529766078e+01 6.952868100490727425e+08
1.163000000000000078e+01 4.232313560158092969e+01 6.952889923925262690e+08
1.164000000000000057e+01 4.232322490324673936e+01 6.952911489193090200e+08
1.165000000000000036e+01 4.232331209424438612e+01 6.952932617302999496e+08
1.166000000000000014e+01 4.232339924692362843e+01 6.952953739056696892e+08
1.166999999999999993e+01 4.232348628602014173e+01 6.952974846304153204e+08
1.167999999999999972e+01 4.232357322468864425e+01 6.952995940059998035e+08
1.168999999999999950e+01 4.232366015834514172e+01 6.953017032711930275e+08
1.170000000000000107e+01 4.232374430102812823e+01 6.953037588892058134e+08
1.171000000000000085e+01 4.232382430195009704e+01 6.953057632460730076e+08
1.172000000000000064e+01 4.232390427682317124e+01 6.953077671298565865e+08
1.173000000000000043e+01 4.232398411142546024e+01 6.953097699400498867e+08
1.174000000000000021e+01 4.232406377400280917e+01 6.953117715344761610e+08
1.175000000000000000e+01 4.232414342011869479e+01 6.953137728276135921e+08
1.175999999999999979e+01 4.232422253259157685e+01 6.953157690512979031e+08
1.176999999999999957e+01 4.232429425823480784e+01 6.953176715142171383e+08
1.177999999999999936e+01 4.232436568680149946e+01 6.953195694060665369e+08
1.179000000000000092e+01 4.232443702744113523e+01 6.953214662644883394e+08
1.180000000000000071e+01 4.232450829403554593e+01 6.953233620671412945e+08
1.181000000000000050e+01 4.232457954427110991e+01 6.953252574802563190e+08
1.182000000000000028e+01 4.232465027084091957e+01 6.953271442991708517e+08
1.183000000000000007e+01 4.232471853611185963e+01 6.953289913738759756e+08
1.183999999999999986e+01 4.232478307877168788e+01 6.953307824268400669e+08
1.184999999999999964e+01 4.232484737655528306e+01 6.953325701339966059e+08
1.185999999999999943e+01 4.232491163531643963e+01 6.953343572473686934e+08
1.187000000000000099e+01 4.232497586795865629e+01 6.953361439970004559e+08
1.188000000000000078e+01 4.232503906608614841e+01 6.953379174015431404e+08
1.189000000000000057e+01 4.232510033617629119e+01 6.953396659520251751e+08
1.190000000000000036e+01 4.232515940885734551e+01 6.953413936295973063e+08
1.191000000000000014e+01 4.232521464964751345e+01 6.953430845429151058e+08
1.191999999999999993e+01 4.232526972541175780e+01 6.953447736820218563e+08
1.192999999999999972e+01 4.232532480041626144e+01 6.953464628125056028e+08
1.193999999999999950e+01 4.232537818570543209e+01 6.953481328081320524e+08
1.195000000000000107e+01 4.232542982794481645e+01 6.953497832595648766e+08
1.196000000000000085e+01 4.232548143569850652e+01 6.953514334031217098e+08
1.197000000000000064e+01 4.232552887922854268e+01 6.953530409219965935e+08
1.198000000000000043e+01 4.232557360284235415e+01 6.953546207309755087e+08
1.199000000000000021e+01 4.232561823911573384e+01 6.953561997188346386e+08
1.200000000000000000e+01 4.232566002917697290e+01 6.953577533672864437e+08
1.200999999999999979e+01 4.232570033344497773e+01 6.953592934909088612e+08
1.201999999999999957e+01 4.232574056170675192e+01 6.953608329165976048e+08
1.203000000000000114e+01 4.232578061980718331e+01 6.953623709688389301e+08
1.204000000000000092e+01 4.232581437221122656e+01 6.953638606850233078e+08
1.205000000000000071e+01 4.232584686265422391e+01 6.953653405787541866e+08
1.206000000000000050e+01 4.232587526182140891e+01 6.953667873899621964e+08
1.207000000000000028e+01 4.232590295394044233e+01 6.953682284540915489e+08
1.208000000000000007e+01 4.232593050608857510e+01 6.953696682449219227e+08
1.208999999999999986e+01 4.232595787843267487e+01 6.953711066744190454e+08
1.209999999999999964e+01 4.232598411540813288e+01 6.953725367953712940e+08
1.210999999999999943e+01 4.232600339842302617e+01 6.953739162662854195e+08
1.212000000000000099e+01 4.232601791550266768e+01 6.953752615367558002e+08
1.213000000000000078e+01 4.232603240021699520e+01 6.953766065257253647e+08
1.214000000000000057e+01 4.232604671978639033e+01 6.953779504353585243e+08
1.215000000000000036e+01 4.232606115731154262e+01 6.953792932305741310e+08
1.216000000000000014e+01 4.232607626933718592e+01 6.953806357902567387e+08
1.216999999999999993e+01 4.232616807091727651e+01 6.953819434839103222e+08
1.217999999999999972e+01 4.232635705990995234e+01 6.953831966462643147e+08
1.218999999999999950e+01 4.232654956075293740e+01 6.953844482327517271e+08
1.220000000000000107e+01 4.232674171112847716e+01 6.953856983065629005e+08
1.221000000000000085e+01 4.232693375639109945e+01 6.953869478325202465e+08
1.222000000000000064e+01 4.232712502187145276e+01 6.953881968609726429e+08
1.223000000000000043e+01 4.232730988235525871e+01 6.953894235588936806e+08
1.224000000000000021e+01 4.232730611278252297e+01 6.953905896892433167e+08
1.225000000000000000e+01 4.232723682322293257e+01 6.953917401350232363e+08
1.225999999999999979e+01 4.232716579509525445e+01 6.953928889825693369e+08
1.226999999999999957e+01 4.232709476696757633e+01 6.953940378301155567e+08
1.228000000000000114e+01 4.232702371342320191e+01 6.953951862989161015e+08
1.229000000000000092e+01 4.232694752365557633e+01 6.953963072602572441e+08
1.230000000000000071e+01 4.232686947408818412e+01 6.953974175078349113e+08
1.231000000000000050e+01 4.232678615190827287e+01 6.953984807033399343e+08
1.232000000000000028e+01 4.232670554221774495e+01 6.953995408961921930e+08
1.233000000000000007e+01 4.232662493208485444e+01 6.954006010831425190e+08
1.233999999999999986e+01 4.232655819555274235e+01 6.954016567365584373e+08
1.234999999999999964e+01 4.232657692745961242e+01 6.954026839745117426e+08
1.235999999999999943e+01 4.232659586033555854e+01 6.954037105791032314e+08
1.237000000000000099e+01 4.232661125466255214e+01 6.954047121525664330e+08
